StartTime,ForecastTime,ActualPower_MW,PredictedPower_MW
2018/08/24 18:15:00,2018/08/25 18:15:00,0.532792,0.3342009
2018/08/24 18:30:00,2018/08/25 18:30:00,0.119095968270928,0.2040481
2018/08/24 18:45:00,2018/08/25 18:45:00,0,0.07505569
2018/08/24 19:00:00,2018/08/25 19:00:00,0,0.02756441
2018/08/24 19:15:00,2018/08/25 19:15:00,0,0.01125083
2018/08/24 19:30:00,2018/08/25 19:30:00,0,0.01125083
2018/08/24 19:45:00,2018/08/25 19:45:00,0,-0.00911285
2018/08/24 20:00:00,2018/08/25 20:00:00,0,0.007114407
2018/08/24 20:15:00,2018/08/25 20:15:00,0,-0.03947108
2018/08/24 20:30:00,2018/08/25 20:30:00,0,-0.02324359
2018/08/24 20:45:00,2018/08/25 20:45:00,0,-0.02324359
2018/08/24 21:00:00,2018/08/25 21:00:00,0,-0.007007381
2018/08/24 21:15:00,2018/08/25 21:15:00,0,-0.007007381
2018/08/24 21:30:00,2018/08/25 21:30:00,0,-0.02337004
2018/08/24 21:45:00,2018/08/25 21:45:00,0,-0.02337004
2018/08/24 22:00:00,2018/08/25 22:00:00,0,-0.03968363
2018/08/24 22:15:00,2018/08/25 22:15:00,0,-0.03968363
2018/08/24 22:30:00,2018/08/25 22:30:00,0,-0.02330711
2018/08/24 22:45:00,2018/08/25 22:45:00,0,-0.008732326
2018/08/24 23:00:00,2018/08/25 23:00:00,0,-0.008606968
2018/08/24 23:15:00,2018/08/25 23:15:00,0,-0.008606968
2018/08/24 23:30:00,2018/08/25 23:30:00,0,-0.008606968
2018/08/24 23:45:00,2018/08/25 23:45:00,0,-0.009641225
2018/08/25 00:00:00,2018/08/26 00:00:00,0,-0.009641225
2018/08/25 00:15:00,2018/08/26 00:15:00,0,0.006650212
2018/08/25 00:30:00,2018/08/26 00:30:00,0,-0.009648063
2018/08/25 00:45:00,2018/08/26 00:45:00,0,0.006572955
2018/08/25 01:00:00,2018/08/26 01:00:00,0,0.006572955
2018/08/25 01:15:00,2018/08/26 01:15:00,0,0.006572955
2018/08/25 01:30:00,2018/08/26 01:30:00,0,0.006572955
2018/08/25 01:45:00,2018/08/26 01:45:00,0,0.006572955
2018/08/25 02:00:00,2018/08/26 02:00:00,0,0.006572955
2018/08/25 02:15:00,2018/08/26 02:15:00,0,0.006572955
2018/08/25 02:30:00,2018/08/26 02:30:00,0,0.006572955
2018/08/25 02:45:00,2018/08/26 02:45:00,0,0.006572955
2018/08/25 03:00:00,2018/08/26 03:00:00,0,0.007741753
2018/08/25 03:15:00,2018/08/26 03:15:00,0,-0.008427654
2018/08/25 03:30:00,2018/08/26 03:30:00,0,-0.04120212
2018/08/25 03:45:00,2018/08/26 03:45:00,0,-0.04120212
2018/08/25 04:00:00,2018/08/26 04:00:00,0,-0.04120212
2018/08/25 04:15:00,2018/08/26 04:15:00,0,-0.04124873
2018/08/25 04:30:00,2018/08/26 04:30:00,0,-0.03681802
2018/08/25 04:45:00,2018/08/26 04:45:00,0,-0.02064861
2018/08/25 05:00:00,2018/08/26 05:00:00,0,0.0121396
2018/08/25 05:15:00,2018/08/26 05:15:00,0,0.0121396
2018/08/25 05:30:00,2018/08/26 05:30:00,0,0.06085126
2018/08/25 05:45:00,2018/08/26 05:45:00,0,0.1422923
2018/08/25 06:00:00,2018/08/26 06:00:00,0.195357,0.2215732
2018/08/25 06:15:00,2018/08/26 06:15:00,0.443993,0.3357068
